bands,wavelength [Hz],wavelength [Angstrom],color,reference_flux,sncosmo_name,label,effective_width [Hz]
keplercam::i,3.89000e+14,7711.00000,black,2.60400e-06,keplercam::i,Keplercam/i,2.21767e+15
uvot::uvw2,1.46400e+15,2049.89000,black,1.79200e-05,uvot::uvw2,UVOT/w2,4.90932e+15
uvot::uvm2,1.33400e+15,2248.59000,black,1.16200e-05,uvot::uvm2,UVOT/m2,5.78423e+15
uvot::uvw1,1.14100e+15,2628.38000,black,1.34500e-05,uvot::uvw1,UVOT/w1,3.77166e+15
uvot::u,8.64700e+14,3469.55000,black,6.01300e-06,uvot::u,UVOT/u,4.26146e+15
uvot::white,8.93000e+14,3359.46000,black,4.73600e-05,uvot::white,UVOT/white,9.49662e+14
uvot::b,6.89600e+14,4350.30000,black,5.07000e-06,uvot::b,UVOT/b,3.52324e+15
uvot::v,5.52900e+14,5426.26000,black,2.45000e-06,uvot::v,UVOT/v,4.75888e+15
W2,1.46400e+15,2049.89000,black,1.79200e-05,uvot::uvw2,UVOT/w2,4.90932e+15
M2,1.33400e+15,2248.59000,black,1.16200e-05,uvot::uvm2,UVOT/m2,5.78423e+15
W1,1.14100e+15,2628.38000,black,1.34500e-05,uvot::uvw1,UVOT/w1,3.77166e+15
UVW2,1.46400e+15,2049.89000,violet,1.79200e-05,uvot::uvw2,UVOT/w2,4.90932e+15
UVM2,1.33400e+15,2248.59000,violet,1.16200e-05,uvot::uvm2,UVOT/m2,5.78423e+15
UVW1,1.14100e+15,2628.38000,violet,1.34500e-05,uvot::uvw1,UVOT/w1,3.77166e+15
w,8.93000e+14,3359.46000,black,4.73600e-05,uvot::white,UVOT/white,9.49662e+14
c,5.67400e+14,5287.72000,black,8.71300e-06,atlasc,ATLAS/c,1.39796e+15
o,4.44400e+14,6750.15000,black,5.84100e-06,atlaso,ATLAS/o,1.26598e+15
cyan,5.67400e+14,5287.72000,black,8.71300e-06,atlasc,ATLAS/c,1.39796e+15
orange,4.44400e+14,6750.15000,black,5.84100e-06,atlaso,ATLAS/o,1.26598e+15
atlasc,5.67400e+14,5287.72000,black,8.71300e-06,atlasc,ATLAS/c,1.39796e+15
atlaso,4.44400e+14,6750.15000,black,5.84100e-06,atlaso,ATLAS/o,1.26598e+15
4shooter2::us,8.24700e+14,3637.49000,black,4.33200e-06,4shooter2::us,4shooter/u,4.59973e+15
4shooter2::b,6.89300e+14,4352.04000,black,5.66200e-06,4shooter2::b,4shooter/b,2.93907e+15
4shooter2::v,5.53700e+14,5417.67000,black,3.43400e-06,4shooter2::v,4shooter/v,3.13951e+15
4shooter2::r,4.68800e+14,6399.40000,black,3.79800e-06,4shooter2::r,4shooter/r,2.02287e+15
4shooter2::i,3.89000e+14,7711.00000,black,2.60400e-06,4shooter2::i,4shooter/i,2.32662e+15
swope2::u,8.27600e+14,3624.80000,black,3.36300e-06,swope2::u,CSP/u,7.23135e+15
swope2::b,6.83000e+14,4392.06000,black,5.47300e-06,swope2::b,CSP/B,3.11090e+15
swope2::g,6.28400e+14,4774.12000,black,5.68900e-06,swope2::g,CSP/g,2.27875e+15
swope2::v,5.57900e+14,5377.47000,black,3.68400e-06,swope2::v,CSP/V3014,3.13294e+15
