event,time,magnitude,e_magnitude,band,system,flux_density(mjy),flux_density_error,flux(erg/cm2/s),flux_error,time (days)
at2017gfo,57983.039,17.82,0.03,J,AB,0.27039583641088355,0.007471764647993042,8.676127496004771e-14,2.397302620465958e-15,0.5389999999970314
at2017gfo,57983.05,17.32,0.07,g,AB,0.42854852039743746,0.027631214161310147,6.27104353721764e-13,4.04309118256791e-14,0.5500000000029104
at2017gfo,57983.05,16.984,0.05,i,AB,0.5839827246189268,0.026895023821150384,3.462932528105227e-13,1.594739363451853e-14,0.5500000000029104
at2017gfo,57983.05,17.14,0.08,r,AB,0.5058246620031117,0.037272791157379075,4.2310172105448865e-13,3.117528690304606e-14,0.5500000000029104
at2017gfo,57983.05,16.854,0.1,z,AB,0.6582638416408998,0.0606320048699611,2.8844975847240803e-13,2.6567204557451975e-14,0.5500000000029104
at2017gfo,57983.059,18.42,0.04,Ks,AB,0.15559656316050657,0.005732735707785459,2.632573560801469e-14,9.698759419698729e-16,0.559000000001106
at2017gfo,57983.059977,17.51,0.02,i,AB,0.35974933515574015,0.006627228190676559,2.1332611773541266e-13,3.929612309150822e-15,0.5599769999971613
at2017gfo,57983.059977,17.34,0.01,r,AB,0.4207266283844429,0.003875269666572992,3.519206830643118e-13,3.2413092749606658e-15,0.5599769999971613
at2017gfo,57983.16719907407,18.2024703,0.0893445,U,AB,0.19011302840813218,0.01564521845737845,2.8652199651890624e-13,2.3577701844884295e-14,0.6671990740724141
at2017gfo,57983.229,17.4,0.01,z,AB,0.39810717055349615,0.0036669241688249876,1.7444968100638112e-13,1.6067409398514338e-15,0.7289999999993597
at2017gfo,57983.23125,17.24,0.06,i,AB,0.4613175745603782,0.02549489216143412,2.7355460485139966e-13,1.5117186126016984e-14,0.7312499999970896
at2017gfo,57983.23125,17.38,0.1,y,AB,0.4055085354483827,0.03735097379012641,8.39546103356648e-14,7.732505369881031e-15,0.7312499999970896
at2017gfo,57983.23125,17.26,0.06,z,AB,0.4528975799036186,0.025029557937004225,1.9845871711605188e-13,1.0967234006547433e-14,0.7312499999970896
at2017gfo,57983.2319907,17.28,0.13,y,AB,0.4446312674691066,0.05324088687526573,9.205439969875355e-14,1.1022080601524995e-14,0.7319906999982777
at2017gfo,57983.382,17.31,0.04,w,AB,0.43251383103500796,0.015935361507488713,5.641722150017654e-12,2.0784872514311912e-13,0.8819999999977881
at2017gfo,57983.38678241,17.42,0.05,i,AB,0.3908408957924001,0.017999976299770952,2.31762960494503e-13,1.0673078758856199e-14,0.8867824100016151
at2017gfo,57983.401,17.28,0.12,g,AB,0.4446312674691066,0.049145434038706824,6.506385866695192e-13,7.191123410841349e-14,0.9009999999980209
at2017gfo,57983.405,17.2,0.02,r,AB,0.4786300923226371,0.008817225025234611,4.0035457149958094e-13,7.37480374597563e-15,0.9049999999988358
at2017gfo,57983.41925926,17.32,0.07,r,AB,0.42854852039743746,0.027631214161310147,3.5846337704743034e-13,2.311098799446404e-14,0.9192592600011267
at2017gfo,57983.42064815,17.46,0.08,g,AB,0.37670379898390705,0.027758239331620537,5.512388473241101e-13,4.061677928088679e-14,0.9206481500004884
at2017gfo,57983.509444444455,18.9034076,0.1656082,U,AB,0.09968664044063774,0.015206200963479365,1.5023912608449141e-13,2.2916092446201897e-14,1.0094444444548571
at2017gfo,57983.54987027,17.14,0.13,i,AB,0.5058246620031117,0.060568285630740994,2.9994665967412383e-13,3.591394077746774e-14,1.0498702699987916
