event,time,magnitude,e_magnitude,band,system,flux_density(mjy),flux_density_error,flux(erg/cm2/s),flux_error,time (days)
SN2011kl,54363.74513888889,20.7,0.23,J,AB,0.019054607179632446,0.0040367305829690885,6.1140069119098605e-15,1.29517794799201e-15,6.091782407405844
SN2011kl,54363.74513888889,19.86,0.35,Ks,AB,0.04130475019901603,0.013315883083320195,6.988444416813337e-15,2.2528083112320563e-15,6.091782407405844
SN2011kl,54363.74513888889,22.03,0.05,g,AB,0.005597576014951071,0.00025779348243742543,8.191054506520987e-15,3.772120000523386e-16,6.091782407405844
SN2011kl,54363.74513888889,21.4,0.09,i,AB,0.00999999999999996,0.0008289807358541437,5.9298543982870894e-15,4.915437962803557e-16,6.091782407405844
SN2011kl,54363.74513888889,21.67,0.08,r,AB,0.007798301105232546,0.0005746347901002544,6.522961149934415e-15,4.806295393925841e-16,6.091782407405844
SN2011kl,54363.74513888889,21.17,0.08,z,AB,0.012359474334445019,0.0009107347669812156,5.415894298142925e-15,3.9905783923632995e-16,6.091782407405844
SN2011kl,54365.76458333334,20.71,0.4,H,AB,0.018879913490962852,0.006956037590489333,5.175520153498077e-15,1.906732088629588e-15,8.111226851855463
SN2011kl,54365.76458333334,21.23,0.21,J,AB,0.011694993910198652,0.0022621490867467883,3.752545141845194e-15,7.258065783695974e-16,8.111226851855463
SN2011kl,54365.76458333334,20.49,0.46,Ks,AB,0.023120647901755893,0.009796247763411346,3.911834884937329e-15,1.6573492153851804e-15,8.111226851855463
SN2011kl,54365.76458333334,22.39,0.03,g,AB,0.004017908108489376,0.00011102561401232903,5.879492164273347e-15,1.6245637214197306e-16,8.111226851855463
SN2011kl,54365.76458333334,21.75,0.04,i,AB,0.007244359600749861,0.00026690820233874087,4.295799764128004e-15,1.5826311198989511e-16,8.111226851855463
SN2011kl,54365.76458333334,22.01,0.03,r,AB,0.005701642722807455,0.0001575517326643448,4.769191836760996e-15,1.317776403474567e-16,8.111226851855463
SN2011kl,54365.76458333334,21.57,0.06,z,AB,0.008550667128846806,0.000472555888567685,3.7468834106785506e-15,2.070604292787626e-16,8.111226851855463
SN2011kl,54368.75381944445,20.82,0.25,H,AB,0.017060823890031142,0.003928637317398899,4.676856062947715e-15,1.076885905262221e-15,11.100462962967867
SN2011kl,54368.75381944445,21.83,0.24,J,AB,0.006729766562843169,0.0014876924899712932,2.159364341278259e-15,4.773235336867411e-16,11.100462962967867
SN2011kl,54368.75381944445,20.57,0.52,Ks,AB,0.021478304741305288,0.01028739161340038,3.633963118739939e-15,1.740441935585749e-15,11.100462962967867
SN2011kl,54368.75381944445,22.86,0.06,g,AB,0.0026061535499988875,0.00014403007250846474,3.813641069524744e-15,2.1074959384122096e-16,11.100462962967867
SN2011kl,54368.75381944445,22.2,0.07,i,AB,0.004786300923226361,0.0003086028758832112,2.8382067581119508e-15,1.8298595201777853e-16,11.100462962967867
SN2011kl,54368.75381944445,22.42,0.04,r,AB,0.003908408957923993,0.0001439998103981678,3.2692248537938082e-15,1.2044269462386e-16,11.100462962967867
SN2011kl,54368.75381944445,22.03,0.09,z,AB,0.005597576014951071,0.0004640282683873657,2.4528454206427422e-15,2.0332387083566485e-16,11.100462962967867
SN2011kl,54377.765625,21.76,0.27,H,AB,0.007177942912713587,0.0017851129193101087,1.9676778828033324e-15,4.893205421617601e-16,20.11226851851825
SN2011kl,54377.765625,21.79,0.24,J,AB,0.006982324040771704,0.0015435232323442714,2.240401864180338e-15,4.952367297386605e-16,20.11226851851825
SN2011kl,54377.765625,20.7,0.75,Ks,AB,0.019054607179632446,0.013163251900986158,3.2238922283143577e-15,2.226985855900798e-15,20.11226851851825
SN2011kl,54377.765625,23.26,0.09,g,AB,0.0018030177408595628,0.0001494666973575837,2.638395003865634e-15,2.1870464419191466e-16,20.11226851851825
SN2011kl,54377.765625,22.4,0.07,i,AB,0.00398107170553497,0.0002566846918177495,2.3607175562962825e-15,1.5220108550911997e-16,20.11226851851825
SN2011kl,54377.765625,22.68,0.05,r,AB,0.0030760968147406924,0.0001416680556134633,2.5730296567449962e-15,1.1849239462905208e-16,20.11226851851825
SN2011kl,54377.765625,22.3,0.09,z,AB,0.004365158322401648,0.0003618632158224354,1.9128027154763045e-15,1.585580766657931e-16,20.11226851851825
SN2011kl,54383.79305555555,21.86,0.36,H,AB,0.006546361740672734,0.0021707231091801214,1.79454355747753e-15,5.95020851161381e-16,26.13969907406863
SN2011kl,54383.79305555555,22.15,0.32,J,AB,0.005011872336272715,0.001477242886161915,1.6081476682623632e-15,4.739707965790776e-16,26.13969907406863
SN2011kl,54383.79305555555,23.45,0.19,g,AB,0.001513561248436201,0.0002648838803587815,2.2148270343778967e-15,3.875869061818249e-16,26.13969907406863
SN2011kl,54383.79305555555,22.63,0.11,i,AB,0.0032210687912834286,0.0003263582638353838,1.9100468939177315e-15,1.9351400221359991e-16,26.13969907406863
SN2011kl,54383.79305555555,23.0,0.09,r,AB,0.0022908676527677607,0.00018990851525358817,1.9162174551863497e-15,1.5884113490089432e-16,26.13969907406863
SN2011kl,54383.79305555555,22.36,0.14,z,AB,0.004130475019901594,0.0005326353233328072,1.8099650117450824e-15,2.3338551347356e-16,26.13969907406863
SN2011kl,54391.77511574073,23.8,0.12,g,AB,0.0010964781961431784,0.0001211945735849067,1.6045003490495929e-15,1.7733593210041568e-16,34.12175925925112
SN2011kl,54391.77511574073,22.81,0.1,i,AB,0.00272897778280803,0.0002513633345024241,1.6182440908212007e-15,1.4904578881402345e-16,34.12175925925112
SN2011kl,54391.77511574073,23.11,0.08,r,AB,0.0020701413487910375,0.0001525428709904789,1.731588894916631e-15,1.2758818485213012e-16,34.12175925925112
SN2011kl,54391.77511574073,22.46,0.12,z,AB,0.003767037989839078,0.00041637358997430855,1.6507077095664582e-15,1.82442958317027e-16,34.12175925925112
SN2011kl,54405.2875,24.27,0.24,g,AB,0.0007112135136533267,0.00015722194717273245,1.040734175033732e-15,2.300523837314039e-16,47.634143518516794
SN2011kl,54405.2875,23.26,0.23,i,AB,0.0018030177408595628,0.0003819704488027139,1.069163268082573e-15,2.2648922508186256e-16,47.634143518516794
SN2011kl,54405.2875,23.6,0.13,r,AB,0.0013182567385563995,0.00015785025261390255,1.1026680523367945e-15,1.3202732503123713e-16,47.634143518516794
SN2011kl,54405.2875,23.0,0.32,z,AB,0.0022908676527677607,0.0006752302764572024,1.0038531350679891e-15,2.958665298384492e-16,47.634143518516794
SN2011kl,54410.770833333336,24.47,0.35,g,AB,0.0005915616341754719,0.00019070846620072472,8.656449821414839e-16,2.790509724385708e-16,53.11747685185401
SN2011kl,54410.770833333336,23.38,0.16,i,AB,0.0016143585568264805,0.0002379150478880805,9.572911188609904e-16,1.4107163263647404e-16,53.11747685185401
SN2011kl,54410.770833333336,23.92,0.15,r,AB,0.0009817479430199786,0.00013564168870466598,8.211921551798532e-16,1.13451888900047e-16,53.11747685185401
SN2011kl,54410.770833333336,23.15,0.21,z,AB,0.001995262314968875,0.0003859412718198201,8.743195303074812e-16,1.6910838982796306e-16,53.11747685185401
SN2011kl,54428.24398148148,23.68,0.32,i,AB,0.0012246161992650465,0.0003609540401797849,7.261795755425455e-16,2.1402755398156896e-16,70.59062499999709
SN2011kl,54428.24398148148,24.45,0.28,r,AB,0.0006025595860743544,0.00015540320104085408,5.040165437887879e-16,1.2998058979924918e-16,70.59062499999709
SN2011kl,54428.24398148148,23.47,0.44,z,AB,0.0014859356422870032,0.0006022192108411018,6.511337096304475e-16,2.638751761080124e-16,70.59062499999709
SN2011kl,54636.98912037037,25.66,0.31,g,AB,0.00019769696401118498,5.64499579529535e-05,2.892942594551788e-16,8.259945651447039e-17,279.3357638888847
SN2011kl,54636.98912037037,24.36,0.22,i,AB,0.0006546361740672734,0.00013265530111656283,3.881897196070654e-16,7.865790782262731e-17,279.3357638888847
SN2011kl,54636.98912037037,25.04,0.18,r,AB,0.00034994516702835626,5.8019560414353705e-05,2.927148744745998e-16,4.8528065265324213e-17,279.3357638888847
SN2011kl,54636.98912037037,24.02,0.28,z,AB,0.0008953647655495901,0.00023091915535209832,3.9234685855398293e-16,1.0118214711241764e-16,279.3357638888847
