#####################################################################################
## Column descriptions:
## GRBname: GRB name.
## Trig_ID: Special ID associated with the trigger. The observation ID of the event data used in this analysis is 00"Trid_ID"000. For GRBs found in ground analysis, the ID are associated with the trigger ID of the failed event data, or the full observation ID of the event data for the analysis.
## Trig_time_met: The BAT trigger time shown in the Swift machine time (MET), in unit of sec.
## Trig_time_UTC: The BAT trigger time shown in UTC.
## RA_ground: RA of the GRB from the BAT refined position, in unite of deg.
## DEC_ground: DEC of the GRB from the BAT refined position, in unit of deg.
## Image_position_err: The uncertainty of the BAT refined position, in unit of arcmin.
## Image_SNR: The signal-to-noise ratio of the detection from the BAT image.
## T90: Burst duration T90, in unit of sec.
## T90_err: The uncertainty of T90.
## T50: Burst duration T90, in unit of sec.
## T50_err: The uncertainty of T50.
## Evt_start_sincetrig: The time when the event data start, relative to the BAT trigger time, in unit of sec.
## Evt_stop_sincetrig: The time when the event data end, relative to the BAT trigger time, in unit of sec.
## pcode: Partial coding fraction of the burst.
## Trigger_method: The triggering method for the burst (rate trigger, image trigger, ground detected, or ground detected during slew).
## XRT_detection: Whether or not there is an XRT detection of the burst.
## comment: Other special comments.
#####################################################################################
#####################################################################################
## GRBname | Trig_ID | Trig_time_met |       Trig_time_UTC        |  RA_ground   |  DEC_ground   | Image_position_err |   Image_SNR  |     T90      |   T90_err    |     T50      |   T50_err    | Evt_start_sincetrig | Evt_stop_sincetrig | pcode  | Trigger_method | XRT_detection | comment
GRB200216B   |    956824    | 603552778.304 | 2020-02-16T13:32:33.858540 | 1.604542e+02 |  1.947113e+01 |    9.303483e-01    | 3.372177e+01 | 6.744800e+01 | 6.568044e+00 | 3.819600e+01 | 5.190732e+00 |         -239        |         963       | 0.8438 | rate trigger | Yes |    
GRB200215A   |    956639    | 603470396.416 | 2020-02-15T14:39:31.975900 | 3.409998e+01 |  1.277536e+01 |    9.816261e-01    | 3.123374e+01 | 1.114800e+01 | 2.154535e+00 | 3.708000e+00 | 6.279107e-01 |         -239        |         963       | 0.7344 | rate trigger | Yes |    
GRB200205B   |    954519    | 602623328.000 | 2020-02-05T19:21:43.614940 | 1.077689e+02 | -5.649777e+01 |    2.854972e+00    | 6.796081e+00 | 4.539120e+02 | 4.498539e+00 | 4.685600e+01 | 5.357338e+00 |         -239        |         1362       | 0.4766 | image trigger | Yes |    
GRB200131A   |    953689    | 602203300.352 | 2020-01-31T22:41:15.994140 | 3.088961e+00 |  5.112488e+01 |    4.713530e-01    | 8.907719e+01 | 3.274000e+01 | 8.790541e-01 | 1.728000e+00 | 5.091171e-02 |         -239        |         963       | 0.9609 | rate trigger | Yes |    
GRB200127A   |    952791    | 601829096.000 | 2020-01-27T14:44:31.666360 | 2.952070e+02 |  4.493265e+01 |    2.429599e+00    | 8.557652e+00 | 2.170240e+02 | 2.358849e+01 | 9.004800e+01 | 1.981810e+01 |         -475        |         1079       | 0.5078 | image trigger | Yes |    
GRB200125A   |    952164    | 601644723.520 | 2020-01-25T11:31:39.198280 | 2.280679e+02 | -8.143097e+00 |    1.762849e+00    | 1.353264e+01 | 3.503360e+02 | 3.296678e+01 | 2.035680e+02 | 9.749354e+01 |         -180        |         963       | 0.4297 | rate trigger | Yes |    
GRB200122A   |    950330    | 601350084.672 | 2020-01-22T01:41:00.369360 | 2.100117e+02 |  2.754741e+01 |    6.419473e-01    | 5.729533e+01 | 1.905960e+02 | 4.514513e+00 | 1.880000e+01 | 1.133300e+00 |         -240        |         1862       | 0.7812 | rate trigger | Yes |    
GRB200115A   |    949361    | 600781848.000 | 2020-01-15T11:50:23.734140 | 5.645183e+01 |  5.607765e+00 |    1.130359e+00    | 2.553259e+01 | 2.421400e+02 | 2.723407e+01 | 6.406800e+01 | 6.304075e+00 |         -239        |         963       | 0.8281 | image trigger | No |    
GRB200109A   |    948361    | 600227200.448 | 2020-01-09T01:46:16.218040 | 3.071151e+02 |  5.298910e+01 |    1.171077e+00    | 2.427388e+01 | 1.120000e+02 | 3.200000e+01 | 3.200000e+01 | 1.600000e+01 |         -239        |         963       | 1.0000 | rate trigger | Yes |    
GRB200107B   |    948219    | 600118012.928 | 2020-01-07T19:26:28.705120 | 1.070588e+02 | -8.371496e+01 |    1.168728e+00    | 2.434360e+01 | 8.667600e+01 | 1.166023e+01 | 3.505200e+01 | 1.783812e+00 |         -240        |         962       | 0.7812 | rate trigger | Yes |    
GRB191228A   |    946476    | 599184104.000 | 2019-12-28T00:01:19.837560 | 5.362859e+00 | -8.677325e+00 |    1.395654e+00    | 1.889266e+01 | 1.938160e+02 | 2.987514e+01 | 1.163720e+02 | 1.304974e+01 |         -239        |         963       | 0.9062 | image trigger | Yes |    
GRB191227A   |    946344    | 599103601.728 | 2019-12-27T01:39:37.570780 | 3.191685e+02 | -1.671735e+01 |    1.048210e+00    | 2.843850e+01 | 5.588800e+01 | 1.628185e+01 | 9.792000e+00 | 6.335676e-01 |         -240        |         962       | 0.1328 | rate trigger | No |    
GRB191221B   |    945521    | 598653577.280 | 2019-12-21T20:39:13.151900 | 1.548306e+02 | -3.815197e+01 |    1.145884e+00    | 2.503987e+01 | 4.800000e+01 | 1.600000e+01 | 1.600000e+01 | 1.600000e+01 |         -239        |         963       | 0.1201 | rate trigger | Yes |    
GRB191220A   |    945344    | 598541401.920 | 2019-12-20T13:29:37.799160 | 2.813342e+02 |  2.667486e+01 |    3.067691e+00    | 6.133003e+00 | 1.755840e+02 | 1.259951e+02 | 3.992000e+01 | 1.015955e+02 |         -240        |         962       | 0.1953 | rate trigger | Yes |    
GRB191218A   |    944916    | 598329787.968 | 2019-12-18T02:42:43.860860 | 3.010687e+02 | -4.027718e+01 |    1.359916e+00    | 1.960590e+01 | 4.466400e+01 | 7.391347e-01 | 3.758000e+01 | 2.844788e+00 |         -240        |         962       | 0.0947 | rate trigger | No |    
GRB191213A   |    944091    | 597902808.000 | 2019-12-13T04:06:23.920500 | 2.245307e+02 | -9.748274e+00 |    2.190458e+00    | 9.922927e+00 | 1.189920e+02 | 1.826491e+01 | 6.675200e+01 | 1.229822e+01 |         -239        |         963       | 0.5625 | image trigger | No |    
GRB191130A   |  03110538005 | 596811926.376 | 2019-11-30T13:05:02.316 | 1.330794e+02 |  4.995746e+00 |    1.162246e+00    | 2.454099e+01 | 1.756000e+01 | 2.876871e+00 | 6.004000e+00 | 1.280695e+00 |         -139        |         106       | N/A | ground detected | No |    
