GRB	Time [UT]	Trigger Number	BAT T90 [sec]	BAT Photon Index (15-150 keV) (PL = simple power-law, CPL = cutoff power-law)	XRT RA (J2000)	XRT Dec (J2000)	Redshift
150120A	02:57:46	627137	1.20	1.81, PL	00:41:16.54	33:59:41.5	0.460 (Gemini-North: emission, possible host)
150101B	15:23:00	Ground Analysis|20464	0.018	3.3, PL	12:32:04.93	-10:56:00.8	0.093 (GTC: emission from host)
141225A	23:01:07	622476	40.24	1.32, PL	09:15:06.79	33:47:30.6	0.915 (GTC: absorption)
141221A	08:07:10	622006	36.9	1.74, PL	13:13:08.84	08:12:18.3	1.452 (Keck II: absorption, tentative)
141220A	06:02:52	621915	7.21	0.62, CPL	13:00:15.66	32:08:47.9	1.3195 (GTC: absorption)
141212A	12:14:01	621229	0.30	1.61, PL	02:36:29.95	18:08:49.1	0.596 (Gemini-North: emission from likely host)
141121A	03:50:43	619182	549.9	1.73, PL	08:10:40.68	22:13:02.7	1.47 (Keck I: absorption)
141109A	05:49:55	618024	200	1.52, PL	09:38:07.40	-00:36:28.6	2.993 (VLT: absorption)
141026A	02:36:51	616502	146	2.34, PL	02:56:20.28	26:55:42.0	3.35 (GTC: absorption, possible redshift)
141004A	23:20:54	614390	3.92	1.86, PL	05:06:56.07	12:49:10.2	0.57 (NOT: emission)|0.573 (GTC: emission)
140907A	16:07:08	611933	79.2	1.72, PL	03:12:34.98	46:36:17.1	1.21 (GTC)
140903A	15:00:30	611599	0.30	1.99, PL	15:52:03.27	27:36:09.4	0.351 (Gemini-North: absorption, tentative host redshift)
140710A	10:16:40	603954	3.52	2.00, PL	02:44:16.28	35:29:57.0	0.558 (Gemini-North: emission, host)
140703A	00:37:17	603243	67.1	1.74, PL	00:51:58.97	45:06:06.9	3.14 (GTC: absorption)
140629A	14:17:30	602884	42.0	1.86, PL	16:35:54.48	41:52:36.7	2.275 (BTA: absorption)|2.29 (TNG: absorption)
140622A	09:36:04	602278	0.13	n/a	21:08:41.56	-14:25:09.5	~0.959 (VLT: emission from host)
140614A	01:04:59	601646	720	1.50, PL	15:24:40.59	-79:07:43.6	4.233 (VLT: absorption)
140518A	09:17:46	599287	60.5	0.92, CPL	15:09:00.60	42:25:05.6	4.707 (Gemini-North: absorption)
140515A	09:12:36	599037	23.4	0.98, CPL	12:24:15.45	15:06:17.0	6.32 (Gemini-North: absorption)
140512A	19:31:49	598819	154.8	1.45, PL	19:17:28.82	-15:05:39.5	0.725 (NOT: absorption)
140506A	21:07:36	598284	111.1	1.68, PL	18:27:06.10	-55:38:09.4	0.889 (VLT: absorption, host)
140430A	20:33:36	597722	173.6	2.00, PL	06:51:44.62	23:01:24.3	1.60 (VLT: absorption)
140428A	22:40:50	597519	17.42	1.54, PL	12:57:28.45	28:23:06.0	~4.7 (Keck I: estimate)
140423A	08:31:53	596901	134	1.33, PL	13:09:08.52	49:50:29.6	3.26 (Gemini-North: absorption)
140419A	04:06:51	596426	94.7	1.21, PL	08:27:57.51	46:14:24.1	3.956 (Gemini-North: absorption)
140318A	00:09:07	592204	8.43	1.35, PL	12:16:21.42	20:12:32.9	1.02 (WHT: emission)
140311A	21:05:16	591390	71.4	1.67, PL	13:57:13.25	00:38:30.8	4.95 (Gemini-South: absorption)|~ 5 (NOT: absorption)|4.954 (Gemini-North)
140304A	13:22:31	590206	15.6	1.29, PL	02:02:34.26	33:28:25.7	5.283 (GTC: absorption)| 5.28 (NOT: absorption)
140301A	15:24:49	589590	31.0	1.96, PL	04:38:13.81	-34:15:24.3	1.416 (VLT: absorption)
140213A	19:21:37	586569	60.0	1.80, PL	07:00:37.19	-73:08:13.9	1.2076 (VLT: absorption)
140206A	07:17:20	585834	93.6	1.04, CPL	09:41:20.24	66:45:38.5	2.73 (NOT: absorption)|2.74 (TNG: absorption)
140114A	11:57:40	583861	139.7	2.06, PL	12:34:05.16	27:57:02.6	3.0 (arXiv:1503.05323v1)
131227A	04:44:51	582184	18.0	1.36, PL	04:29:30.78	28:52:58.9	~5.3 (Gemini-North)
131117A	00:34:04	577968	11.00	-0.40, CPL	22:09:19.45	-31:45:44.8	4.18 (MPG: photometric)|4.042 (VLT: absorption)
131105A	02:04:44	576738	112.3	1.45, PL	04:43:52.18	-62:59:42.7	1.686 (VLT: emission & absorption)
131103A	22:07:25	576562	17.3	1.97, PL	23:15:40.46	-44:38:25.6	0.599 (VLT: emission & absorption)
131030A	20:56:18	576238	41.1	1.30, PL	23:00:16.20	-05:22:06.5	1.293 (NOT: absorption)|1.295 (GTC: absorption)
131004A	21:41:03	573190	1.54	1.81, PL	19:44:27.16	-02:57:31.0	0.717 (Magellan: emission)|0.71 (TNG: emission)
130925A	04:11:24	571830	n/a	1.85, CPL	02:44:42.97	-26:09:11.5	0.347 (VLT/UVES: emission)|0.35 (VLT/X-shooter: emission)
130907A	21:41:13	569992	>360	1.17, PL	14:23:34.13	45:36:26.1	1.238 (NOT: absorption)
130831A	13:04:16	568849	32.5	1.93, PL	23:54:29.92	29:25:47.3	0.4791 (Gemini-North: absorption)
130701A	04:17:43	559482	4.38	0.90, CPL	23:48:55.08	36:06:01.5	1.155 (VLT: absorption)
130612A	03:22:22	557976	4.0	-0.14, CPL	17:19:10.63	16:43:11.3	2.006 (VLT: absorption)
130610A	03:12:13	557845	46.4	1.27, PL	14:57:40.88	28:12:25.6	2.092 (VLT: absorption)
130606A	21:04:39	557589	276.58	1.52, PL	16:37:35.13	29:47:46.8	5.91 (GTC: absorption)|5.913 (MMT: absorption)|5.913 (VLT: absorption)
130604A	06:54:26	557354	37.7	1.51, PL	16:40:44.89	68:13:34.9	1.06 (Gemini-North: emission)
130603B	15:49:14	557310	0.18	0.82, PL	11:28:48.15	17:04:16.9	0.356 (GTC: absorption & emission)|0.356 (Magellan: emission, host)|0.356 (Gemini-South: emission)|0.3564 (VLT: absorption & emission)
130518A	13:55:07.4	556113	n/a	n/a	23:42:40.23	47:27:53.5	2.49 (GTC: absorption)|2.488 (Gemini-North: absorption)
130514A	07:13:41	555821	204	1.80, PL	19:45:07.92	-07:58:34.0	3.6 (MPG/ESO: photometric)
130511A	11:30:47	555600	5.43	1.35, PL	13:06:34.90	18:42:35.3	1.3033 (Gemini-North: absorption)
130505A	08:22:28	555163	88	1.18, PL	09:08:14.60	17:29:04.3	2.27 (Gemini-North: absorption)
130427B	13:20:41	554635	27.0	1.64, PL	20:59:35.63	-22:32:47.9	2.78 (VLT: tentative)
130427A	07:47:57	554620	162.83	1.21, PL	11:32:32.63	27:41:51.7	0.34 (Gemini-North: absorption)|0.338 (NOT: absorption)|0.3399 (VLT: absorption)|0.340 (LBT: absorption)| 0.3399 (William Herschel: emission, host)| 0.3393 (BTA)
130420A	07:28:29	553977	123.5	1.52, CPL	13:04:25.49	59:25:26.3	1.297 (GTC: absorption)
130418A	19:00:53	553847	>300	2.07, PL	09:56:08.85	13:40:02.0	1.218 (GTC)|1.217 (VLT: absorption)
130408A	21:51:38	553132	28	1.28, PL	08:57:37.30	-32:21:39.5	3.758 (VLT: absorption)|3.757 (Gemini-South)
130215A	01:31:30	548760	65.7	1.59, PL	n/a	n/a	0.597 (Lick Shane: absorption)|0.58 (GTC: derived)
130131B	19:10:08	547420	4.30	1.15, PL	11:35:49.36	15:02:17.5	2.539 (Keck I: emission, host)
121229A	05:00:21	544347	n/a	2.43, PL	12:40:24.31	-50:35:38.6	2.707 (VLT: absorption)
121211A	13:47:02	541200	182	2.36, PL	13:02:07.99	30:08:54.9	1.023 (Keck I)
121201A	12:25:42	540178	85	1.90, PL	00:53:52.25	-42:56:34.8	3.385 (VLT: emission  & absorption)
121128A	05:05:37	539866	23.3	1.32, PL	20:02:24.00	54:17:58.7	2.20 (Gemini North: absorption)
121027A	07:32:29	536831	62.6	1.82, PL	04:14:23.47	-58:49:46.8	1.773 (arXiv:1302.2352v1)|1.77 (Gemini-South: absorption)|1.773 (VLT: emission and absorption)
121024A	02:56:12	536580	69	1.41, PL	04:41:53.30	-12:17:25.9	2.298 (VLT: absorption)
120922A	22:30:28	534394	173	1.58, CPL	15:38:59.65	-20:10:55.5	3.1 (MPG/ESO :photometric)
120909A	01:42:03	533060	n/a	1.39, PL	18:22:56.77	-59:26:55.0	3.93 (VLT: absorption)
120907A	00:24:23	532871	16.9	1.73, PL	04:59:00.00	-09:18:53.6	0.970 (OSIRIS/GTC: absorption)
120815A	02:13:58	531003	9.7	2.29, PL	18:15:49.92	-52:07:53.1	2.358 (VLT/X-shooter: absorption)
120811C	15:34:52	530689	26.8	1.40, CPL	13:18:43.94	62:18:02.1	2.671 (GTC: absorption)|2.67 {NOT: absorption)
120805A	21:28:09	530031	48.00	1.20, PL	14:26:09.21	05:49:30.9	3.1 (arXiv:1503.05323v1)
120802A	08:00:51	529486	50	1.21, CPL	02:59:22.22	13:46:06.0	3.796 (Gemini-North: absorption)
120729A	10:56:14	529095	71.5	1.62, PL	00:52:17.89	49:56:22.6	0.80 (Gemini-North: absorption)
120724A	06:39:02	528443	72.8	0.53, CPL	16:20:43.23	03:30:28.5	1.48 (Gemini-North: absorption, tentative)
120722A	12:53:26	528195	42.4	1.90, PL	15:21:59.18	13:15:03.8	0.9586 (VLT: emission from host)
120714B	21:18:46.57	526642	159	1.52, PL	n/a	n/a	0.3984 (VLT: absorption)
120712A	13:42:27	526351	14.7	1.36, PL	11:18:21.22	-20:02:02.3	4.0 (MPG/ESO: photo-z)|4.15 (Gemini-South: absorption)| 4.1745 (VLT: absorption)
120521C	23:22:07	522656	26.7	1.73, PL	14:17:08.73	42:08:41.0	~6.0 (Gemini-North: redshift estimate)
120422A	07:12:03	520658	5.35	1.19, PL	09:07:38.42	14:01:06.0	0.28 (Gemini-North: emission)|0.283 (VLT: emission)
120404A	12:51:02	519380	38.7	1.85, PL	15:40:02.34	12:53:05.9	2.876 (Gemini-North: absorption)|~2.88 (VLT/UT2: absorption)
120327A	02:55:16	518731	62.9	1.52, PL	16:27:27.50	-29:24:54.1	2.81 (Gemini-South: absorption)|2.813 (VLT/UT2: absorption)| 2.813 (GTC: absorption)
120326A	01:20:29	518626	69.6	1.41, CPL	18:15:37.12	69:15:35.5	1.798 (GTC: absorption)
120119A	04:04:30.21	512035	253.8	1.38, PL	08:00:06.91	-09:04:54.3	1.728 (Gemini-South: absorption)|1.73 (Lick: absorption)|1.728 (MMT: absorption)
120118B	17:00:21	512003	23.26	2.08, PL	08:19:29.04	-07:11:05.1	2.943 (Keck I: emission)
111229A	22:37:52	510736	25.4	1.85, PL	05:05:09.56	-84:42:39.7	1.3805 (Gemini-South: absorption)
111228A	15:44:43	510649	101.20	2.27, PL	10:00:16.10	18:17:52.2	0.714 (MMT: absorption)|0.716 (Gemini-South: absorption)| 0.7156 (TNG: absorption)|0.713 (NOT: absorption)|0.71627 (VLT: absorption)
111225A	03:50:37	510341	106.8	1.70, PL	00:52:37.32	51:34:18.3	0.297 (GTC: absorption)
111209A	07:12:08	509336	n/a	1.48, PL	00:57:22.63	-46:48:03.7	0.677 (arXiv:1302.2352v1)|0.677 (VLT: absorption)
111123A	18:13:21	508319	290.0	1.68, PL	10:19:23.13	-20:38:41.0	3.1516 (VLT: emission from host)
111107A	00:50:24	507185	26.6	1.49, PL	08:37:54.39	-66:31:11.3	2.893 (Gemini-South: absorption)| Consistent with Gemini-South (VLT: absorption)
111008A	22:12:58	505054	63.46	1.86, PL	04:01:48.23	-32:42:33.5	5.0 (Gemini-South: absorption)|4.9898 (VLT: absorption)
110818A	20:37:49	500914	103	1.58, PL	21:09:20.87	-63:58:51.7	3.36 (VLT: absorption)
110808A	06:18:54	458918	48	2.32, PL	03:49:04.22	-44:11:41.7	1.348 (VLT: emission)
110801A	19:49:42	458521	385	1.84, PL	05:57:44.63	80:57:22.7	1.858 (GTC: absorption)
110731A	11:09:30	458448	38.8	1.15, PL	18:42:01.04	-28:32:13.7	2.83 (Gemini-North: absorption)
110726A	01:30:40	458059	5.2	0.64, CPL	19:06:52.16	56:04:16.0	1.036 < z < 2.7 (Gemini-North)
110715A	13:13:50	457330	13.0	1.25, CPL	15:50:44.06	-46:14:07.1	0.82 (VLT: absorption)
110503A	17:35:45	452685	10.0	0.88, CPL	08:51:06.28	52:12:26.8	1.613 (GTC: absorption)|1.61 (TNG: absorption), PAIRITEL (1.3m)
110422A	15:41:55	451901	25.9	0.86, CPL	07:28:11.33	75:06:24.4	1.77 (TNG: absorption)| 1.770 (GTC: absorption)
110213A	05:17:29	445414	48.0	1.83, PL	02:51:51.48	49:16:22.5	1.46 (Bok: absorption)
110205A	02:02:41	444643	257	1.80, PL	10:58:31.05	67:31:30.2	1.98 (Lick: absorption, possible)|2.22 (FLWO: absorption, host)| 2.22 (NOT: absorption)
110128A	01:44:33	443861	30.7	1.31, PL	12:55:35.13	28:03:54.4	2.339 (VLT: absorption)
101225A	18:37:45	441015	1088.0	1.82, PL	00:00:47.51	44:36:01.1	0.847(arXiv:1302.2352v1)|0.40 (Keck I: emission)
101219B	16:27:53	440635	34	1.56, PL	00:48:55.42	-34:34:00.4	0.5519 (ESO-VLT: tentative redshift)
101219A	02:31:29	440606	0.6	0.63, PL	04:58:20.49	-02:32:23.0	0.718 (Gemini-North: emission, host)
